# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl der Abgeordneten zum 8. Europäischen Parlament aus der Bundesrepublik Deutschland (25. Mai 2014)
# Endgültige Ergebnisse sowie der Vorperiode nach kreisfreien Städten und Landkreisen
# 
Nr;Gebiet;gehört;Wahlberechtigte;Wahlberechtigte;Wähler;Wähler;Ungültige;Ungültige;Gültige;Gültige;CDU;CDU;SPD;SPD;GRÜNE;GRÜNE;FDP;FDP;DIE LINKE;DIE LINKE;CSU;CSU;FREIE WÄHLER;FREIE WÄHLER;REP;REP;Tierschutzpartei;Tierschutzpartei;FAMILIE;FAMILIE;PIRATEN;PIRATEN;ÖDP;ÖDP;PBC;PBC;Volksabstimmung;Volksabstimmung;BP;BP;CM;CM;AUF;AUF;DKP;DKP;BüSo;BüSo;PSG;PSG;AfD;AfD;PRO NRW;PRO NRW;MLPD;MLPD;NPD;NPD;Die PARTEI;Die PARTEI;Übrige;Übrige;
;;zu;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;
5558;"Coesfeld";5;171164;169504;102969;81823;1050;662;101919;81161;48182;39800;27737;15666;10246;9094;4149;10335;3110;2243;;;228;166;153;373;865;537;878;529;1083;494;201;118;44;36;166;125;18;36;46;91;64;73;25;38;12;8;11;18;3782;;217;;20;;329;;353;;;1381;
5562;"Recklinghausen";5;479057;487998;236191;196386;3756;2244;232435;194142;74243;65321;93816;64095;17288;18613;6639;19410;11103;11873;;;671;436;936;2327;3178;2117;1304;1413;3394;1654;370;227;229;323;743;486;82;117;113;227;209;205;276;216;61;60;41;64;12918;;1762;;209;;1673;;1177;;;4958;
5566;"Steinfurt";5;338268;335812;194990;155550;2730;1277;192260;154273;81911;69276;64624;40393;17490;14793;6402;17263;6809;5236;;;761;432;300;693;1588;884;943;899;2219;982;338;184;160;161;316;203;31;48;91;113;141;165;40;63;32;18;34;34;6251;;330;;28;;713;;708;;;2433;
5570;"Warendorf";5;210359;211179;120687;93760;1678;905;119009;92855;52670;44034;36292;19980;10860;9643;4531;11277;4021;2868;;;837;309;209;466;1011;654;557;612;1301;581;231;131;97;106;200;144;29;54;78;151;59;94;27;42;21;23;16;18;4738;;187;;20;;619;;398;;;1668;
5711;"Bielefeld, Stadt";5;238932;238773;127375;105723;1609;925;125766;104798;38527;34900;42262;27184;18414;19765;3664;9853;8957;6138;;;241;284;247;694;1251;901;489;477;2283;1037;298;171;341;402;259;246;36;61;145;155;157;148;74;107;33;24;29;57;6272;;326;;67;;505;;889;;;2194;
5754;"Gütersloh";5;262976;261769;141757;116700;2150;1206;139607;115494;61325;52069;40300;24792;14287;13948;4272;13914;5336;3741;;;784;478;248;694;1348;870;685;779;1526;789;334;299;238;240;285;258;47;76;114;165;129;126;37;55;19;25;25;33;6716;;304;;35;;593;;620;;;2143;
5758;"Herford";5;193351;195933;102072;80695;1621;979;100451;79716;34701;28155;37992;24343;9153;8879;2701;8850;4449;3459;;;510;902;271;677;1080;733;439;504;1180;603;164;114;322;289;234;190;35;52;114;120;122;57;57;50;24;18;15;22;5766;;220;;32;;457;;413;;;1699;
5762;"Höxter";5;113628;116849;65911;52642;1239;676;64672;51966;32553;27522;17748;10012;4106;3736;1974;5833;2002;1529;;;192;131;117;341;584;318;452;581;636;344;300;251;47;71;97;110;31;36;65;131;73;39;17;22;11;5;8;6;2924;;154;;11;;345;;225;;;948;
5766;"Lippe";5;271166;275179;146244;118335;2445;1417;143799;116918;48102;40849;52340;35339;13802;13396;5156;13354;6572;4684;;;1313;903;338;923;1571;1025;638;712;1883;826;282;182;799;978;296;240;42;69;241;242;649;636;57;50;36;44;34;28;7894;;374;;34;;700;;646;;;2438;
5770;"Minden-Lübbecke";5;243588;247440;123748;94475;1974;975;121774;93500;43016;34532;46175;28863;10086;9359;4167;10729;4908;3730;;;594;382;385;947;1236;719;598;566;1375;632;222;130;475;523;244;181;45;50;111;142;143;108;45;67;36;31;21;17;6437;;377;;51;;472;;555;;;1792;
