# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl der Abgeordneten zum 5. Europäischen Parlament aus der Bundesrepublik Deutschland (13. Juni 1999)
# Endgültige Ergebnisse nach kreisfreien Städten und Landkreisen
# 
Kreis-Nr.;Text;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;GRÜNE;CSU;PDS;F.D.P.;REP;GRAUE;ödp;APD;PASS;BP;PBC;NATURGESETZ;NPD;CM;BüSo;FAMILIE;ASP;ZENTRUM;DIE FRAUEN;HP;Tierschutz
05 3 82; Rhein-Sieg-Kreis;412652;200741;1686;199055;59007;106971;15127;0;2059;9647;1503;804;350;461;117;0;267;187;462;173;26;0;167;55;465;51;1156
05 5 12; Bottrop, Stadt;91219;38077;349;37728;17842;14798;1975;0;534;700;398;181;490;113;56;0;26;40;111;19;9;0;36;14;112;15;259
05 5 13; Gelsenkirchen, Stadt;204048;71249;639;70610;36113;24690;3832;0;1301;1379;1114;431;72;247;123;0;84;55;290;90;12;0;91;46;216;30;394
05 5 15; Münster, Stadt;199809;106268;511;105757;29727;51729;14723;0;1878;4954;429;297;404;150;129;0;41;110;145;90;19;0;55;67;321;40;449
05 5 54; Borken;252206;112144;764;111380;30625;69077;5784;0;661;2848;447;250;189;182;81;0;87;70;125;122;9;0;87;70;246;26;394
05 5 58; Coesfeld;155700;77010;572;76438;20929;45691;5034;0;505;2336;400;223;178;166;53;0;35;72;113;66;2;0;52;63;185;18;317
05 5 62; Recklinghausen;491567;202948;1752;201196;93244;81888;11256;0;2634;4546;2250;920;253;589;235;0;215;165;716;197;31;0;233;76;578;50;1120
05 5 66; Steinfurt;315283;145568;1012;144556;52369;75087;8456;0;940;4578;798;300;143;245;86;0;81;85;242;116;20;0;90;95;284;22;519
05 5 70; Warendorf;201498;96708;796;95912;30628;53929;4950;0;779;3262;567;229;104;226;76;0;26;63;148;127;8;0;93;40;238;16;403
05 7 11; Bielefeld, Stadt;234743;110114;975;109139;41322;46147;12070;0;2553;3372;930;429;160;178;143;0;248;84;302;130;14;0;93;24;356;31;553
05 7 54; Gütersloh;246147;111017;894;110123;35170;59650;7415;0;1070;3399;899;375;250;224;89;0;118;96;252;132;19;0;97;37;265;22;544
05 7 58; Herford;191864;85658;928;84730;36869;36996;4926;0;960;2319;769;289;107;152;60;0;196;63;197;80;21;0;88;9;188;23;418
05 7 62; Höxter;116709;56762;508;56254;15338;35353;2185;0;338;1439;469;130;150;112;46;0;33;52;103;101;6;0;58;8;116;13;204
05 7 66; Lippe;273484;122756;1250;121506;51677;51544;7881;0;1272;4625;1170;464;282;268;103;0;486;97;353;146;24;0;119;19;303;26;647
05 7 70; Minden-Lübbecke;243711;102674;960;101714;43894;44051;5552;0;909;3708;943;344;160;168;92;0;589;79;247;100;20;0;91;11;239;27;490
05 7 74; Paderborn;205947;90394;833;89561;22181;56068;5278;0;735;2612;755;237;182;207;87;0;66;106;144;149;13;0;80;45;255;28;333
05 9 11; Bochum, Stadt;292692;126080;1035;125045;60523;42708;10755;0;2791;3043;1327;740;198;431;180;0;118;122;406;165;23;0;127;32;441;46;869
05 9 13; Dortmund, Stadt;429909;178838;1400;177438;83858;61563;15783;0;3748;4979;2110;1084;207;471;288;0;155;204;711;138;52;0;192;45;566;62;1222
05 9 14; Hagen, Stadt;149720;58524;489;58035;25634;23952;3234;0;856;1827;1017;255;64;181;52;0;89;64;170;59;9;0;67;9;137;14;345
05 9 15; Hamm, Stadt;129906;54184;530;53654;23141;24454;2507;0;571;1285;525;181;47;120;61;0;27;39;132;62;14;0;57;14;131;15;271
05 9 16; Herne, Stadt;125207;43457;361;43096;22345;14756;2311;0;831;786;838;228;30;126;72;0;58;45;178;60;6;0;59;14;112;12;229
05 9 54; Ennepe-Ruhr-Kreis;267193;118802;1008;117794;53974;43899;8845;0;1853;4210;1460;547;150;308;146;0;238;127;404;112;19;0;122;28;354;43;955
05 9 58; Hochsauerlandkreis;210708;105149;832;104317;29207;66013;3577;0;564;2361;823;238;88;218;56;0;45;82;204;127;10;0;76;39;198;10;381
05 9 62; Märkischer Kreis;324905;132178;1223;130955;47858;64707;6509;0;1375;4306;2377;582;165;417;137;0;343;133;486;169;33;0;170;56;349;37;746
05 9 66; Olpe;100991;49127;346;48781;11939;33140;1589;0;221;852;266;107;46;77;33;0;26;28;93;60;3;0;48;17;93;10;133
05 9 70; Siegen-Wittgenstein;218655;96209;764;95445;35342;47011;4940;0;1026;2900;1186;277;290;247;102;0;685;67;231;210;23;0;100;20;239;21;528
05 9 74; Soest;223413;102539;863;101676;34631;55127;5066;0;741;3006;761;326;109;213;97;0;91;204;207;173;19;0;79;52;258;20;496
05 9 78; Unna;311988;138227;1275;136952;64944;53286;8441;0;1591;3595;1513;636;112;424;138;0;114;123;425;140;29;0;166;42;394;31;808
905; Nordrhein-Westfalen;13075952;5732613;47036;5685577;2121821;2687264;406176;0;76689;197919;53039;24624;8679;13208;5676;0;7863;5131;14374;5992;1122;0;5236;2506;15316;1666;31276

