Nr;Gebiet;gehört;Wahlberechtigte;Wahlberechtigte;Wähler;Wähler;Ungültige;Ungültige;Gültige;Gültige;CDU;CDU;SPD;SPD;GRÜNE;GRÜNE;CSU;CSU;DIE LINKE;DIE LINKE;FDP;FDP;REP;REP;Die Tierschutzpartei;Die Tierschutzpartei;FAMILIE;FAMILIE;ödp;ödp;DIE FRAUEN;DIE FRAUEN;Volksabstimmung;Volksabstimmung;PBC;PBC;CM;CM;AUFBRUCH;AUFBRUCH;DKP;DKP;BP;BP;PSG;PSG;BüSo;BüSo;50Plus;50Plus;AUF;AUF;DVU;DVU;DIE GRAUEN;DIE GRAUEN;DIE VIOLETTEN;DIE VIOLETTEN;EDE;EDE;FBI;FBI;VOLKSENTSCHEIDE;VOLKSENTSCHEIDE;FW FREIE WÄHLER;FW FREIE WÄHLER;Newropeans;Newropeans;PIRATEN;PIRATEN;RRP;RRP;RENTNER;RENTNER;Übrige;Übrige;
;;zu;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;
3251;"Diepholz";3;168192;166243;65206;61131;520;753;64686;60378;24176;25790;16740;15892;7881;7742;;;2362;974;9249;6041;368;451;558;590;449;442;72;90;125;220;150;246;140;349;55;72;50;72;23;50;34;;11;29;17;24;181;;65;;210;;121;;74;;13;;57;;50;;184;;21;;439;;256;;555;;;1304;
3252;"Hameln-Pyrmont";3;122041;123798;46746;47729;500;753;46246;46976;16950;20227;14319;14638;5019;4830;;;1964;807;4658;3016;388;523;382;507;292;330;39;58;103;190;114;360;84;146;29;60;31;57;34;32;33;;16;27;8;34;103;;40;;168;;89;;54;;20;;43;;40;;146;;12;;288;;330;;450;;;1134;
3254;"Hildesheim";3;223143;224077;96632;96328;953;1781;95679;94547;36587;41950;29594;30109;11416;10372;;;3412;1641;8242;4695;700;917;830;826;570;560;107;146;188;305;203;345;169;382;82;141;56;76;63;71;63;;22;63;21;45;204;;75;;430;;171;;137;;18;;57;;92;;185;;42;;743;;431;;769;;;1903;
3255;"Holzminden";3;60504;62697;29573;30553;728;1031;28845;29522;9609;12214;10940;11103;2514;2207;;;1015;321;2923;1984;214;213;279;230;179;152;27;32;65;102;54;117;79;112;24;33;22;25;18;16;8;;6;27;3;8;51;;31;;77;;47;;31;;6;;15;;31;;40;;9;;171;;99;;258;;;626;
3256;"Nienburg (Weser)";3;96682;96827;35464;34025;289;436;35175;33589;14380;15807;10268;9802;3717;3220;;;1118;456;3343;2039;277;355;284;279;234;238;28;42;64;113;69;178;67;70;28;43;23;28;19;32;15;;5;19;13;17;72;;42;;113;;43;;36;;7;;39;;23;;71;;10;;188;;239;;340;;;851;
3257;"Schaumburg";3;127027;127292;52286;50471;449;815;51837;49656;18663;20723;17069;16638;5555;5123;;;1769;695;4913;2897;408;576;467;523;365;361;62;76;127;169;125;290;185;250;64;96;46;54;21;36;33;;12;33;15;26;108;;52;;154;;67;;66;;9;;46;;44;;109;;24;;400;;407;;452;;;1090;
3351;"Celle";3;140730;140016;52234;52289;404;597;51830;51692;22167;25058;12751;12133;5262;5224;;;1655;1208;5935;3821;524;1448;466;525;310;305;64;84;138;169;125;177;191;238;50;80;47;47;22;50;37;;16;36;11;33;104;;59;;250;;89;;58;;21;;32;;61;;363;;19;;350;;271;;382;;;1056;
3352;"Cuxhaven";3;159742;160317;59620;55403;621;766;58999;54637;24252;26375;16206;14945;6407;5676;;;2415;758;5470;3151;284;440;573;566;437;393;49;51;148;193;155;179;83;115;37;54;49;67;24;53;49;;14;38;12;35;139;;35;;290;;122;;66;;13;;45;;57;;349;;18;;367;;321;;513;;;1548;
3353;"Harburg";3;190716;183389;80700;73902;732;998;79968;72904;31348;34357;16953;16105;11397;10647;;;2843;1191;11053;5659;444;466;783;711;563;523;121;154;128;233;199;251;274;252;79;93;55;72;47;54;78;;19;43;22;53;204;;82;;318;;176;;137;;13;;65;;91;;617;;42;;726;;427;;664;;;2040;
3354;"Lüchow-Dannenberg";3;40613;41242;16522;16435;163;303;16359;16132;5278;6720;2762;2944;4890;4327;;;913;354;1399;771;95;123;121;147;77;87;12;22;27;48;24;52;60;82;12;9;11;27;20;20;14;;6;33;5;7;33;;20;;60;;28;;27;;7;;17;;20;;53;;1;;100;;109;;158;;;359;
