# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl der Abgeordneten zum 6. Europäischen Parlament aus der Bundesrepublik Deutschland (13. Juni 2004)
# Endgültige Ergebnisse nach kreisfreien Städten und Landkreisen
# 
Kreis-Nr.;Text;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;CSU;GRÜNE;PDS;FDP;REP;Die Tierschutzpartei;GRAUE;NPD;DIE FRAUEN;ödp;PBC;CM;BP;BüSo;ZENTRUM;FAMILIE;Deutschland;Unabhängige Kandidaten;AUFBRUCH;DKP;DP;PSG
15 3 58;Jerichower Land;81008;34729;2713;32016;11542;5989;0;1242;7423;1687;521;721;418;306;346;61;76;100;0;69;36;696;187;136;128;85;143;104
15 3 62;Ohrekreis;95920;42711;3305;39406;15209;7285;0;1555;8297;2211;499;836;444;512;425;66;85;84;0;89;52;852;248;140;151;105;166;95
15 3 63;Stendal;109266;48516;3279;45237;15942;8471;0;1719;10870;1941;765;845;579;664;484;99;215;168;0;99;305;1128;272;113;162;114;148;134
15 3 64;Quedlinburg;63178;26737;1985;24752;8856;4614;0;1080;5156;1611;305;551;339;472;279;47;60;70;0;61;23;511;199;101;108;73;161;75
15 3 67;Schönebeck;61557;23297;1603;21694;8262;3653;0;743;5049;1043;401;491;338;181;217;25;124;62;0;47;32;507;147;72;86;59;81;74
15 3 69;Wernigerode;78490;34949;2420;32529;11402;6587;0;1417;7299;1360;425;624;492;487;296;89;126;84;0;91;42;798;245;103;178;80;216;88
15 3 70;Altmarkkreis Salzwedel;80382;36305;2597;33708;12672;6469;0;1289;7279;1764;439;652;382;447;400;78;132;99;0;59;46;737;191;129;122;111;110;101
915;Sachsen-Anhalt;2094281;880310;58797;821513;281729;151665;0;36686;194735;45633;13532;16207;11876;13117;8465;1790;2253;2166;0;1903;1281;17455;5746;3049;3380;2664;3849;2332

16 0 51;Erfurt, Stadt;164847;85200;2363;82837;25682;13320;0;8179;23796;3304;1492;1213;1240;793;694;147;111;56;0;93;72;1141;495;279;180;204;235;111
16 0 52;Gera, Stadt;88658;42607;1611;40996;12577;6000;0;2170;13572;1558;700;738;712;667;428;56;91;34;0;68;36;680;421;112;113;98;88;77
16 0 53;Jena, Stadt;83848;48473;1110;47363;12397;9036;0;7069;11565;2577;786;628;468;647;402;131;103;38;0;80;43;577;259;195;110;115;76;61
16 0 54;Suhl, Stadt;36953;18653;652;18001;5043;2600;0;987;6453;785;250;271;187;302;204;30;20;10;0;36;18;282;139;90;63;48;140;43
16 0 55;Weimar, Stadt;51472;28268;775;27493;8894;4339;0;4135;6004;1141;843;405;338;267;210;42;54;28;0;31;37;340;147;55;69;43;38;33
16 0 56;Eisenach, Stadt;36466;18674;528;18146;5798;3149;0;1456;4959;663;412;287;221;191;150;55;45;20;0;36;19;285;145;51;85;38;41;40
16 0 61;Eichsfeld;89018;53818;1380;52438;32886;5206;0;1605;6086;1834;580;358;305;1168;368;407;76;86;0;27;62;653;316;101;93;44;131;46
16 0 62;Nordhausen;78557;38097;1186;36911;13263;6584;0;1565;10493;1488;538;450;315;617;320;46;85;37;0;50;38;428;280;58;52;64;88;52
16 0 63;Wartburgkreis;116739;65909;2296;63613;23422;10298;0;2667;15240;2720;1877;1001;476;1162;765;103;103;110;0;374;70;1223;736;488;345;112;198;123
16 0 64;Unstrut-Hainich-Kreis;94802;49756;1619;48137;20315;7572;0;1738;11318;1925;1023;624;415;854;469;57;61;70;0;52;74;727;379;140;90;67;107;60
16 0 65;Kyffhäuserkreis;75484;38389;1386;37003;14476;5993;0;1178;9734;1341;557;503;266;1141;370;41;41;49;0;41;30;529;298;69;114;45;127;60
16 0 66;Schmalkalden-Meiningen;117138;64091;2420;61671;21626;9182;0;2654;17273;2997;1447;933;575;836;669;94;146;91;0;350;55;1001;616;381;286;77;280;102
16 0 67;Gotha;120426;67102;2394;64708;25136;9940;0;2962;16035;2625;1731;1119;646;816;648;95;113;94;0;206;76;958;581;217;220;99;262;129
16 0 68;Sömmerda;65150;35550;1265;34285;14108;4784;0;1328;8469;1462;919;589;286;666;343;35;35;26;0;53;35;540;286;86;76;50;64;45
16 0 69;Hildburghausen;60116;30655;1076;29579;11653;4899;0;992;7726;1158;693;338;147;470;321;52;40;29;0;26;40;416;244;89;66;42;90;48
16 0 70;Ilm-Kreis;98645;54918;2038;52880;20062;8100;0;2824;13556;2243;1165;831;539;758;498;79;89;56;0;65;48;859;437;167;137;88;193;86
16 0 71;Weimarer Land;73264;41708;1387;40321;16598;5899;0;1978;8777;1860;1386;638;368;760;429;59;49;34;0;60;47;633;308;158;94;65;65;56
16 0 72;Sonneberg;55681;27517;1076;26441;9894;4132;0;898;7425;976;597;356;209;488;268;32;42;20;0;40;33;448;236;97;88;42;65;55
16 0 73;Saalfeld-Rudolstadt;106518;57224;2168;55056;20855;8664;0;2197;14012;2215;1094;785;534;1708;575;82;52;51;0;100;57;952;431;152;180;98;156;106
16 0 74;Saale-Holzland-Kreis;76095;44310;1599;42711;16538;6558;0;2020;10531;1995;1048;606;376;672;483;60;106;37;0;83;44;687;402;125;122;60;91;67
16 0 75;Saale-Orla-Kreis;78906;43095;1550;41545;15903;6412;0;1541;10819;1797;1016;607;324;740;433;63;115;79;0;114;52;681;335;134;123;82;97;78
16 0 76;Greiz;100144;54341;2262;52079;21301;7795;0;2018;11994;2264;1359;819;548;844;572;65;204;87;0;72;47;951;470;161;160;99;143;106
16 0 77;Altenburger Land;91868;44710;1920;42790;16464;6641;0;1294;11056;1881;1152;719;481;807;406;55;119;51;0;42;39;713;416;129;83;67;107;68
916;Thüringen;1960795;1053065;36061;1017004;384891;157103;0;55455;256893;42809;22665;14818;9976;17374;10025;1886;1900;1193;0;2099;1072;15704;8377;3534;2949;1747;2882;1652

999;Bundesgebiet;61682394;26523104;739426;25783678;9412997;5547971;2063900;3079728;1579109;1565431;485662;331388;314402;241743;145312;145537;98651;46037;35152;21983;26803;268468;135015;70301;43128;37160;62005;25795
